Time	Word	Category	URL
Mon Nov 13 18:01:23 2017	rightaholic	affix	https://www.nytimes.com/2017/11/13/books/review-vanity-fair-diaries-tina-brown.html
Mon Nov 13 18:01:48 2017	pfoom	onomatopoeia	https://www.nytimes.com/2017/11/13/arts/design/richard-avedon-nothing-personal-pace-macgill.html
Tue Nov 14 01:01:41 2017	hyperkulturemia	domain	https://www.nytimes.com/2017/11/13/arts/design/davinci-leonardo-dicaprio-christies.html
Tue Nov 14 04:01:14 2017	increasecompliance	filtered	https://www.nytimes.com/2017/11/13/health/digital-pill-fda.html
Tue Nov 14 11:01:51 2017	gothicky	deriv	https://www.nytimes.com/2017/11/14/books/review/matthew-weiner-heather-the-totality.html
Tue Nov 14 19:01:40 2017	beygals	dialect	https://www.nytimes.com/2017/11/14/books/review/recommended-food-science-chef-memoirs.html
Tue Nov 14 20:01:07 2017	individualmandate	filtered	https://www.nytimes.com/2017/11/14/us/politics/tax-plan-senate-obamacare-individual-mandate-trump.html
Tue Nov 14 22:01:08 2017	unfairbecause	filtered	https://www.nytimes.com/2017/11/14/travel/tripadvisor-warnings-criticism.html
Wed Nov 15 03:01:09 2017	biopharmacy	affix	https://www.nytimes.com/2017/11/14/opinion/china-trump-xi-jinping-trade.html
Wed Nov 15 10:01:13 2017	yemul	filtered	https://www.nytimes.com/2017/11/15/fashion/watches-south-korea-weddings.html
Wed Nov 15 11:01:28 2017	agreementsm	filtered	https://www.nytimes.com/2017/11/15/opinion/republican-tax-plan-economy.html
Wed Nov 15 11:02:00 2017	isiphandla	filtered	https://www.nytimes.com/2017/11/15/theater/the-lion-king-south-africa.html
Wed Nov 15 11:02:20 2017	postmassacre	affix	https://www.nytimes.com/2017/11/15/magazine/the-history-of-photography-is-a-history-of-shattered-glass.html
Wed Nov 15 20:01:43 2017	besatzungskinder	filtered	https://www.nytimes.com/2017/11/15/arts/design/dara-friedman-miami-perez-art-museum-miami-perfect-strangers.html
Thu Nov 16 07:01:08 2017	grammairiens	filtered	https://www.nytimes.com/2017/11/16/opinion/french-sexism-grammar-everybody.html
Thu Nov 16 07:01:10 2017	grammairiennes	filtered	https://www.nytimes.com/2017/11/16/opinion/french-sexism-grammar-everybody.html
Thu Nov 16 07:01:28 2017	pointant	filtered	https://www.nytimes.com/2017/11/16/opinion/larabie-saoudite-reforme-islamistes.html
Thu Nov 16 11:01:12 2017	semicryptically	affix	https://www.nytimes.com/2017/11/16/us/politics/alexander-ovechkin-capitals-putin.html
Thu Nov 16 11:01:55 2017	acetalized	infl	https://www.nytimes.com/2017/11/16/books/review/new-crime-fiction-linwood-barclay.html
Thu Nov 16 11:02:11 2017	casseroling	deriv	https://www.nytimes.com/2017/11/16/magazine/letter-of-recommendation-caceroladas.html
Thu Nov 16 15:01:06 2017	beachfuls	infl	https://www.nytimes.com/2017/11/16/world/europe/dylan-thomas-wales-dolphins-octopuses.html
Thu Nov 16 22:01:38 2017	onrolling	affix	https://www.nytimes.com/2017/11/16/arts/design/downton-abbey-the-exhibition-manhattan.html
Fri Nov 17 11:01:16 2017	domesticairlines	filtered	https://www.nytimes.com/2017/11/17/travel/clear-airport-screening.html
Fri Nov 17 11:01:26 2017	funreach	compound new	https://www.nytimes.com/2017/11/17/arts/science-podcasts-youre-the-expert-startalk.html
Fri Nov 17 11:01:28 2017	hydrorobot	affix	https://www.nytimes.com/2017/11/17/arts/science-podcasts-youre-the-expert-startalk.html
Fri Nov 17 16:01:08 2017	babymooners	blend	https://www.nytimes.com/2017/11/17/travel/26babymoon-tips.html
Fri Nov 17 16:01:31 2017	obsessable	affix	https://www.nytimes.com/2017/11/17/movies/its-time-to-talk-turkey-about-thanksgiving-films.html
Fri Nov 17 17:01:31 2017	deinstitutionalizes	deriv	https://www.nytimes.com/2017/11/17/opinion/sunday/escape-roy-moores-evangelicalism.html
Fri Nov 17 22:01:19 2017	podfasters	blend	https://www.nytimes.com/2017/11/17/insider/what-were-reading.html
Fri Nov 17 23:01:10 2017	poliphical	variant	https://www.nytimes.com/2017/11/17/nyregion/bo-dietl-raos-harlem-italian-mayoral.html
Fri Nov 17 23:01:48 2017	soundcards	infl	https://www.nytimes.com/2017/11/17/arts/music/ecm-catalog-streaming-guide.html
Fri Nov 17 23:02:12 2017	übermocking	affix	https://www.nytimes.com/2017/11/17/books/review/vanity-fair-diaries-tina-brown-terry-mcdonell.html
Sat Nov 18 20:02:01 2017	humorize	deriv	https://www.nytimes.com/2017/11/18/opinion/sunday/nuclear-war-not-funny.html
Sun Nov 19 07:02:51 2017	satelitales	filtered	https://www.nytimes.com/2017/11/18/world/americas/argentina-missing-submarine.html?ref=todayspaper
Sun Nov 19 07:02:53 2017	provendrían	filtered	https://www.nytimes.com/2017/11/18/world/americas/argentina-missing-submarine.html?ref=todayspaper
Sun Nov 19 07:02:57 2017	arduamente	filtered	https://www.nytimes.com/2017/11/18/world/americas/argentina-missing-submarine.html?ref=todayspaper
Sun Nov 19 13:01:09 2017	twimbos	filtered	https://www.nytimes.com/2017/11/19/reader-center/zimbabwe-mugabe.html
Sun Nov 19 13:01:12 2017	twimbo	filtered	https://www.nytimes.com/2017/11/19/reader-center/zimbabwe-mugabe.html
Sun Nov 19 20:01:12 2017	shibazakura	filtered	https://www.nytimes.com/2017/11/19/briefing/manus-island-toshiba-zimbabwe.html
Sun Nov 19 23:01:14 2017	fluoroscent	filtered	https://www.nytimes.com/2017/11/19/nyregion/photo-darkrooms-high-schools.html
Mon Nov 20 03:01:27 2017	daintified	deriv	https://www.nytimes.com/2017/11/19/theater/review-pride-and-prejudice-pride-cherry-lane.html
Mon Nov 20 11:01:04 2017	creativism	deriv	https://www.nytimes.com/2017/11/20/travel/detroit-michigan-downtown.html
Mon Nov 20 11:01:49 2017	enganchador	filtered	https://www.nytimes.com/2017/11/20/magazine/the-coast-guards-floating-guantanamos.html
Mon Nov 20 11:01:56 2017	sanshengyixiang	filtered	https://www.nytimes.com/2017/11/20/magazine/chinas-revealing-spin-on-the-sharing-economy.html
Mon Nov 20 16:01:24 2017	cryosurgeries	affix	https://www.nytimes.com/2017/11/20/health/dermatology-skin-cancer.html
Tue Nov 21 01:01:38 2017	approachlike	filtered	https://www.nytimes.com/2017/11/20/nyregion/metropolitan-diary-fight-on-the-bus.html
Tue Nov 21 10:01:07 2017	glyptician	deriv	https://www.nytimes.com/2017/11/21/fashion/jewelry-gems-carving-cameos.html
Tue Nov 21 10:01:10 2017	glypticians	filtered	https://www.nytimes.com/2017/11/21/fashion/jewelry-gems-carving-cameos.html
Tue Nov 21 11:01:58 2017	liliest	deriv	https://www.nytimes.com/2017/11/21/magazine/the-culture-caught-up-with-spike-lee-now-what.html
Tue Nov 21 11:02:00 2017	hyperaffluence	affix	https://www.nytimes.com/2017/11/21/magazine/the-culture-caught-up-with-spike-lee-now-what.html
Tue Nov 21 11:02:20 2017	explainability	deriv	https://www.nytimes.com/2017/11/21/magazine/can-ai-be-taught-to-explain-itself.html
Tue Nov 21 13:01:26 2017	éclata	filtered	https://www.nytimes.com/2017/11/21/world/europe/france-harcelement-sexuel.html
Tue Nov 21 13:01:29 2017	peignaient	filtered	https://www.nytimes.com/2017/11/21/world/europe/france-harcelement-sexuel.html
Tue Nov 21 13:01:31 2017	mondialement	filtered	https://www.nytimes.com/2017/11/21/world/europe/france-harcelement-sexuel.html
Tue Nov 21 17:01:10 2017	rraaahwr	onomatopoeia	https://www.nytimes.com/2017/11/21/dining/thanksgiving-restaurants-eating-out.html
Wed Nov 22 11:02:03 2017	guideword	compound comp	https://www.nytimes.com/2017/11/22/books/review/garth-risk-hallberg-field-guide-to-north-american-family.html
Wed Nov 22 11:02:24 2017	micropods	affix	https://www.nytimes.com/2017/11/22/magazine/the-voices-in-blue-americas-head.html
Wed Nov 22 15:01:43 2017	quintoniles	filtered	https://www.nytimes.com/2017/11/22/t-magazine/bitter-food.html
Wed Nov 22 16:01:26 2017	webstreamed	infl	https://www.nytimes.com/2017/11/22/technology/personaltech/rocket-launches-space-iphone.html
Wed Nov 22 16:01:53 2017	demeatballization	deriv	https://www.nytimes.com/2017/11/22/books/review/wine-lovers-daughter-anne-fadiman-memoir.html
Wed Nov 22 23:01:21 2017	kyshadow	blend	https://www.nytimes.com/2017/11/22/business/millennials-cosmetics-boom.html
Thu Nov 23 00:01:42 2017	frowziest	infl	https://www.nytimes.com/2017/11/22/theater/theater-review-everybodys-talking-about-jamie-follies-young-frankenstein.html
Thu Nov 23 02:01:09 2017	chargaes	filtered	https://www.nytimes.com/2017/11/22/world/africa/zimbabwe-strongmen.html
Thu Nov 23 07:01:09 2017	hareeseh	filtered	https://www.nytimes.com/2017/11/23/opinion/why-wont-israel-let-me-mourn-my-father.html
Thu Nov 23 16:01:26 2017	ethnofictions	compound new	https://www.nytimes.com/2017/11/23/movies/jean-rouch-a-long-overdue-homage-to-a-documentary-maker.html
Thu Nov 23 16:01:28 2017	wiggiest	deriv	https://www.nytimes.com/2017/11/23/movies/jean-rouch-a-long-overdue-homage-to-a-documentary-maker.html
Fri Nov 24 04:01:13 2017	pizzaless	affix	http://www.nytimes.com/2017/11/23/crosswords/daily-puzzle-2017-11-24.html
Fri Nov 24 05:01:08 2017	pathogenically	deriv	https://www.nytimes.com/2017/11/23/health/bacteria-colon-cancer.html
Fri Nov 24 06:02:48 2017	respondss	filtered	https://www.nytimes.com/2017/11/23/business/junk-milken-akhtar.html?ref=todayspaper
Fri Nov 24 11:01:38 2017	princessification	affix	https://www.nytimes.com/2017/11/24/opinion/sunday/girls-parents-boys-gender.html
Fri Nov 24 11:01:47 2017	shistol	filtered	https://www.nytimes.com/2017/11/24/opinion/oh-no-live-drama-and-unwritten-humor.html
Fri Nov 24 11:01:51 2017	shostil	filtered	https://www.nytimes.com/2017/11/24/opinion/oh-no-live-drama-and-unwritten-humor.html
Fri Nov 24 17:01:14 2017	inihaw	filtered	https://www.nytimes.com/2017/11/24/dining/tito-rads-grill-review-queens.html
Fri Nov 24 17:01:16 2017	carinderia	filtered	https://www.nytimes.com/2017/11/24/dining/tito-rads-grill-review-queens.html
Fri Nov 24 17:01:20 2017	tortang	filtered	https://www.nytimes.com/2017/11/24/dining/tito-rads-grill-review-queens.html
Fri Nov 24 21:01:16 2017	cyberlover	blend	https://www.nytimes.com/2017/11/24/style/modern-love-college-contest-winners-follow-up.html
Fri Nov 24 23:01:10 2017	tasawwuf	filtered	https://www.nytimes.com/2017/11/24/world/middleeast/sufi-muslim-explainer.html
Sat Nov 25 00:01:12 2017	polyfluoroalkyl	domain	https://www.nytimes.com/2017/11/24/us/michigan-water-wolverine-contamination.html
Sat Nov 25 12:01:19 2017	foofier	infl	https://www.nytimes.com/2017/11/25/style/mermaid-tiki-bar-sip-n-dip.html
Sun Nov 26 16:01:02 2017	iyya	filtered	https://www.nytimes.com/2017/11/26/nyregion/boy-who-fled-boko-haram-yearns-to-heal-the-poor.html
Mon Nov 27 11:01:30 2017	foresisters	affix	https://www.nytimes.com/2017/11/27/opinion/putin-sobchak-gordon-opposition-women-elections.html
Mon Nov 27 17:01:26 2017	reviewier	filtered	https://www.nytimes.com/2017/11/27/books/review/notable-childrens-books-2017.html
Tue Nov 28 11:01:26 2017	unsucculent	affix	https://www.nytimes.com/2017/11/28/style/erectile-dysfunction-pills-over-the-internet.html
Tue Nov 28 11:01:38 2017	masculennial	blend	https://www.nytimes.com/2017/11/28/style/erectile-dysfunction-pills-over-the-internet.html
Tue Nov 28 11:01:46 2017	unsoil	affix	https://www.nytimes.com/2017/11/28/opinion/metoo-sexual-harassment-believe-women.html
Thu Nov 30 01:01:11 2017	chhattu	filtered	https://www.nytimes.com/2017/11/29/books/review/british-empire-tea-food-collingham-rappaport.html
Thu Nov 30 12:01:11 2017	nonbraggadocious	affix	https://www.nytimes.com/2017/11/29/us/politics/fact-check-trump-tax-cuts.html
Thu Nov 30 14:01:08 2017	intragang	affix	https://www.nytimes.com/2017/11/29/magazine/el-salvador-police-battle-gangs.html
Thu Nov 30 14:01:52 2017	decivilizational	deriv	https://www.nytimes.com/2017/11/30/opinion/trump-putin-destruction-democracy.html
Thu Nov 30 14:02:21 2017	teratoid	domain	https://www.nytimes.com/2017/11/29/nyregion/she-survived-a-brain-tumor-at-age-4-it-was-just-the-start-of-her-fight.html
Thu Nov 30 20:01:55 2017	gawwwleee	lengthening	https://www.nytimes.com/2017/11/30/obituaries/jim-nabors-87-tvs-gomer-pyle-is-dead.html
Fri Dec 01 07:01:13 2017	cannabislike	affix	https://www.nytimes.com/2017/11/30/books/review/gardens-hiking-nature-animals-great-outdoors.html
Fri Dec 01 12:01:46 2017	archconspiracist	affix	https://www.nytimes.com/2017/12/01/opinion/trump-is-cracking-up.html
Sat Dec 02 19:01:43 2017	cellarium	domain	http://www.nytimes.com/2017/12/02/opinion/sunday/donald-trump-navajo-pocahontas.html
Sat Dec 02 19:02:34 2017	independantists	deriv	https://www.nytimes.com/2017/12/01/world/europe/corsica-catalonia-independence.html
Sun Dec 03 11:01:27 2017	tareferos	filtered	https://www.nytimes.com/2017/12/02/opinion/sunday/argentina-yerba-mate-message.html
Sun Dec 03 16:01:21 2017	pastelada	filtered	https://www.nytimes.com/2017/12/01/dining/pasteles-puerto-rico-recipe.html
Sun Dec 03 16:01:26 2017	pasteladas	filtered	https://www.nytimes.com/2017/12/01/dining/pasteles-puerto-rico-recipe.html
Sun Dec 03 21:01:16 2017	kwaussie	blend	https://www.nytimes.com/2017/12/03/briefing/michael-flynn-north-korea-rohingya.html
Mon Dec 04 00:01:28 2017	spaccatelli	filtered	https://www.nytimes.com/2017/12/01/dining/sicilian-pistachio-bronte.html
Mon Dec 04 00:01:32 2017	buccellatos	filtered	https://www.nytimes.com/2017/12/01/dining/sicilian-pistachio-bronte.html
Mon Dec 04 01:01:23 2017	grangelands	compound comp	https://www.nytimes.com/2017/12/02/opinion/sunday/soil-power-the-dirty-way-to-a-green-planet.html
Mon Dec 04 12:01:53 2017	ingrownness	deriv	https://www.nytimes.com/2017/12/01/books/review/patrick-leigh-fermor-life-in-letters.html
Mon Dec 04 12:02:03 2017	glycerinlike	affix	https://www.nytimes.com/2017/12/01/magazine/ice-cream-cake-baked-alaska-meringue-pistachio-cake-lemon-semifreddo.html
Mon Dec 04 18:01:29 2017	restranscription	filtered	https://www.nytimes.com/2017/12/04/books/review/river-of-consciousness-oliver-sacks.html
Mon Dec 04 23:01:21 2017	misdeamanor	filtered	http://www.nytimes.com/2017/12/04/arts/dance/peter-martins-new-york-city-ballet.html
Mon Dec 04 23:03:48 2017	relationshipper	deriv	https://www.nytimes.com/2017/12/04/style/tumblr-shippers.html
Tue Dec 05 04:01:08 2017	pseudophilanthropy	affix	https://www.nytimes.com/2017/12/04/business/dealbook/midwest-start-ups.html
Tue Dec 05 04:01:20 2017	odists	infl	https://www.nytimes.com/2017/12/04/theater/hundred-days-review-shaun-abigail-bengson.html
Tue Dec 05 18:01:08 2017	strucutural	filtered	https://www.nytimes.com/2017/12/05/us/california-fire.html
Tue Dec 05 18:01:20 2017	tumpety	onomatopoeia	https://www.nytimes.com/2017/12/05/books/review/odyssey-homer-emily-wilson-translation.html
Tue Dec 05 18:01:28 2017	polyphloisboio	domain	https://www.nytimes.com/2017/12/05/books/review/odyssey-homer-emily-wilson-translation.html
Tue Dec 05 21:01:16 2017	metenolone	domain	https://www.nytimes.com/2016/05/13/sports/russia-doping-sochi-olympics-2014.html
Wed Dec 06 12:02:02 2017	dinkelbrot	filtered	https://www.nytimes.com/2017/12/04/dining/best-cookbooks-baking-review.html
Thu Dec 07 18:03:21 2017	tawazun	filtered	https://www.nytimes.com/2017/12/07/opinion/sunday/yemen-saleh-death-legacy.html
Thu Dec 07 22:01:59 2017	galleonlike	affix	https://www.nytimes.com/2017/12/07/fashion/chanel-metiers-dart-hamburg.html
Fri Dec 08 02:03:26 2017	animalerie	filtered	https://www.nytimes.com/2017/12/07/world/canada/quebec-hi-bonjour.html
Fri Dec 08 02:03:44 2017	enfreint	filtered	https://www.nytimes.com/2017/12/07/world/canada/quebec-hi-bonjour.html
Fri Dec 08 02:03:46 2017	utilisant	filtered	https://www.nytimes.com/2017/12/07/world/canada/quebec-hi-bonjour.html
Fri Dec 08 06:01:28 2017	hyvää	filtered	https://www.nytimes.com/2017/12/08/briefing/jerusalem-california-johnny-hallyday.html
Fri Dec 08 06:01:31 2017	itsenäisyyspäivää	filtered	https://www.nytimes.com/2017/12/08/briefing/jerusalem-california-johnny-hallyday.html
Fri Dec 08 18:01:13 2017	soumets	filtered	https://www.nytimes.com/2017/12/08/world/europe/pope-francis-lords-prayer-translation-temptation.html
Fri Dec 08 18:01:17 2017	inducas	filtered	https://www.nytimes.com/2017/12/08/world/europe/pope-francis-lords-prayer-translation-temptation.html
Fri Dec 08 18:01:18 2017	tentationem	filtered	https://www.nytimes.com/2017/12/08/world/europe/pope-francis-lords-prayer-translation-temptation.html
Fri Dec 08 19:01:44 2017	realigner	deriv	https://www.nytimes.com/2017/12/08/opinion/steve-bannon-american-politics.html
Fri Dec 08 23:01:23 2017	hotwords	compound comp	https://www.nytimes.com/2017/12/08/business/echo-alexa-amazon.html
Sat Dec 09 07:01:28 2017	mesosaurs	filtered	https://www.nytimes.com/2017/12/06/science/duck-dinosaur-swim.html
Sat Dec 09 07:01:33 2017	dinoduck	compound new	https://www.nytimes.com/2017/12/06/science/duck-dinosaur-swim.html
Sat Dec 09 20:03:26 2017	kashaveynu	filtered	https://www.nytimes.com/2017/12/08/obituaries/mickey-gurdus-dead-eavesdropped-on-the-world.html
Sun Dec 10 07:01:18 2017	bodyhacking	compound comp	https://www.nytimes.com/2017/12/09/style/dna-tattoos.html
Sun Dec 10 11:01:05 2017	rapscallionish	affix	https://www.nytimes.com/2017/12/06/arts/music/luke-bryan-what-makes-you-country-blake-shelton-texoma-shore-review.html
Tue Dec 12 07:01:45 2017	untameability	affix	https://www.nytimes.com/2017/12/11/science/gemstones-diamonds-sapphires-rubies.html
Tue Dec 12 07:01:47 2017	crustward	affix	https://www.nytimes.com/2017/12/11/science/gemstones-diamonds-sapphires-rubies.html
Wed Dec 13 21:01:11 2017	instapays	blend	https://www.nytimes.com/2017/12/13/business/walmart-workers-pay-advances.html
Thu Dec 14 10:01:22 2017	dotplot	compound new	https://www.nytimes.com/2017/12/13/business/dealbook/alabama-senate-election.html
Thu Dec 14 10:02:29 2017	nanoraptors	filtered	https://www.nytimes.com/2017/12/12/science/ticks-amber-dinosaur.html
Fri Dec 15 09:59:13 2017	yahoud	filtered	https://www.nytimes.com/2017/12/14/opinion/sweden-antisemitism-jews.html
Fri Dec 15 10:00:00 2017	powermodels	compound comp	https://www.nytimes.com/2017/12/14/fashion/supermodels-versace-naomi-campbell-christy-turlington-gigi-hadid.html
Fri Dec 15 10:00:02 2017	superspawn	affix	https://www.nytimes.com/2017/12/14/fashion/supermodels-versace-naomi-campbell-christy-turlington-gigi-hadid.html
Fri Dec 15 11:01:42 2017	rakrae	filtered	https://www.nytimes.com/2017/12/14/dining/uncle-boons-sister-review-thai-food-nyc.html
Fri Dec 15 11:02:30 2017	appellido	filtered	https://www.nytimes.com/2017/12/14/magazine/will-they-take-me-too.html
Fri Dec 15 11:03:05 2017	neuromythology	affix	https://www.nytimes.com/2017/12/14/magazine/to-unlock-the-brains-mysteries-puree-it.html
Fri Dec 15 12:01:14 2017	mushpie	compound comp	https://www.nytimes.com/2017/12/15/fashion/weddings/a-digital-message-in-a-bottle-was-waiting-for-him.html
Fri Dec 15 12:03:57 2017	supersmelling	affix	https://www.nytimes.com/2017/12/08/magazine/judge-john-hodgman-on-eating-straight-out-of-the-fridge.html
Fri Dec 15 13:01:31 2017	circulationism	deriv	https://www.nytimes.com/2017/12/15/arts/design/hito-steyerl.html
Fri Dec 15 13:01:34 2017	junktime	compound comp	https://www.nytimes.com/2017/12/15/arts/design/hito-steyerl.html
Fri Dec 15 15:01:44 2017	sefforts	filtered	https://www.nytimes.com/2017/12/15/arts/dance/diana-vishneva-context-festival-contemporary-dance-in-russia.html
Fri Dec 15 15:02:45 2017	unholiday	affix	https://www.nytimes.com/2017/12/12/realestate/fix-holiday-decorating.html
Fri Dec 15 18:01:53 2017	internethttps	filtered	https://www.nytimes.com/2017/12/15/business/ajit-pai-video.html
Fri Dec 15 20:03:11 2017	unfevered	affix	https://www.nytimes.com/2017/12/10/theater/today-is-my-birthday-review.html
Fri Dec 15 20:04:14 2017	bridesmates	blend	https://www.nytimes.com/2017/12/12/fashion/weddings/bridal-parties-mix-it-up-with-bridesmen-and-grooms-gals.html
Fri Dec 15 20:05:16 2017	megajuggernaut	affix	https://www.nytimes.com/2017/12/14/business/dealbook/disney-fox-deal.html?ref=todayspaper
Fri Dec 15 23:01:04 2017	uncomedic	affix	https://www.nytimes.com/2017/12/06/arts/best-film-tv-performances.html
Fri Dec 15 23:01:54 2017	enmeshments	deriv	https://www.nytimes.com/2017/12/12/books/review/go-went-gone-jenny-erpenbeck.html
Sat Dec 16 02:01:47 2017	empust	dialect	https://www.nytimes.com/2017/12/15/opinion/the-kindergarten-marines.html
Sat Dec 16 12:01:04 2017	uninvention	affix	https://www.nytimes.com/2017/12/16/fashion/the-end-of-high-heels.html
Sat Dec 16 14:01:07 2017	compartmentally	deriv	https://www.nytimes.com/2017/12/16/insider/will-shortz-spiral-puzzle-mania.html
Sat Dec 16 19:01:04 2017	minuteslong	filtered	https://www.nytimes.com/2017/12/16/us/politics/senator-kirsten-gillibrand-trump-women-sexual-harassment.html
Sun Dec 17 12:01:21 2017	émerveillait	filtered	not found
Sun Dec 17 12:01:27 2017	taillées	filtered	https://www.nytimes.com/2017/12/17/world/europe/la-maison-la-plus-chere-du-monde-simple-babiole-pour-un-prince-saoudien.html
Sun Dec 17 12:01:28 2017	labyrinthes	filtered	https://www.nytimes.com/2017/12/17/world/europe/la-maison-la-plus-chere-du-monde-simple-babiole-pour-un-prince-saoudien.html
Sun Dec 17 20:01:13 2017	regramming	blend	https://www.nytimes.com/2017/12/17/technology/instagram-russian-trolls.html
Sun Dec 17 20:01:20 2017	arrhythmical	infl	https://www.nytimes.com/2017/12/17/obituaries/bette-howland-author-and-protege-of-bellows-dies-at-80.html
Mon Dec 18 06:03:01 2017	grandkidswho	filtered	https://www.nytimes.com/2017/12/12/nyregion/metropolitan-diary-silver-alert.html?ref=todayspaper
Mon Dec 18 11:02:07 2017	stranichka	filtered	https://www.nytimes.com/2017/12/18/magazine/what-if-anything-does-carter-page-know.html
Mon Dec 18 12:01:33 2017	hissssssss	lengthening	https://www.nytimes.com/2017/12/18/insider/instant-pot-testing.html
Mon Dec 18 17:01:33 2017	neftobak	filtered	https://www.nytimes.com/2017/12/18/magazine/judge-john-hodgman-on-snuffing-out-a-snuff-habit.html
Mon Dec 18 18:01:07 2017	withbroad	filtered	https://www.nytimes.com/2017/12/18/us/amtrak-derailment-washington.html
Mon Dec 18 18:01:26 2017	donabes	filtered	https://www.nytimes.com/2017/12/18/dining/la-mercerie-restaurant-design-store.html
Mon Dec 18 22:01:04 2017	signboardlike	affix	https://www.nytimes.com/2017/12/18/arts/design/jackson-mississippi-civil-rights-museum-medgar-evers.html
Tue Dec 19 01:01:11 2017	bankruptee	deriv	https://www.nytimes.com/2017/12/18/opinion/bitcoin-boom-technology-trust.html
Tue Dec 19 03:01:29 2017	arkoudaphobic	affix	http://www.nytimes.com/2017/12/18/crosswords/daily-puzzle-2017-12-19.html
