Time,Word,Category,URL,Sentence Example
Thu Nov 09 00:01:14 2017,presenence,filtered,https://www.nytimes.com/2017/11/08/obituaries/tzipora-jochsberger-founder-of-a-jewish-arts-school-dies-at-96.html,"In time, she added more classes in piano, guitar and other instruments, and in theater.To accommodate its growing enrollment, of adults as well as children, the school relocated to buildings on the West Side and finally, in 1978, to the new Abraham Goodman House at West 67th Street, a building that also includes Merkin Concert Hall.When Ms. Jochsberger retired in 1985, enrollment at the school totaled about 400; today, the significantly more diverse student body (with much less of a Jewish presenence) totals about 2,800 children and adults, including a full-time kindergarten-to-12th-grade public school for musically gifted children.After her retirement, Ms. Jochsberger — who earned her master’s and doctoral degrees in sacred music at the Jewish Theological Seminary of America — returned to Israel, where she founded the Israel Music Heritage Project."
Thu Nov 09 01:01:46 2017,initiativeson,filtered,https://www.nytimes.com/2017/11/08/health/medicaid-expansion-states.html,
Thu Nov 09 02:01:13 2017,unrepulsed,affix,https://www.nytimes.com/2017/11/08/opinion/trump-virginia-democrats-inclusion.html,"Bob is my constituent now.”What welcome inclusiveness at a time when the president stews in a hate-filled bubble, appealing only to the shrinking fraction of Americans unrepulsed by his behavior.“We live in a very diverse society,” Mr. Northam reminded us after his victory."
Thu Nov 09 04:01:17 2017,streakwise,affix,http://www.nytimes.com/2017/11/08/crosswords/daily-puzzle-2017-11-09.html,"8, 2017THURSDAY PUZZLE — There are few things that infuriate solvers more than a rebus theme, but I think I could safely say that having to write backward in a grid is pretty high up there.Still, as it says in Ecclesiastes, “To everything there is a season, and a time to every purpose under the heaven: A time for rebus, and a time to write backward; a time to finish without Googling, and a time to goeth down in flames, streakwise …” [We are so going to hell."
Thu Nov 09 06:01:05 2017,aurais,filtered,https://www.nytimes.com/2017/11/09/arts/music/charlotte-gainsbourg-rest.html,"(“Au coin de ta bouche, une trainée/Tu n’aurais pas aimé”: “At the corner of your mouth, a streak/You wouldn’t have liked.”) “I treasure that moment, even though it was horrific,” said Ms. Gainsbourg, who was 19 when Serge Gainsbourg died of a heart attack in 1991.Still not entirely sure of her songwriting, Ms. Gainsbourg considered calling in help from the literary provocateur Michel Houellebecq, and met with writers at her label’s suggestion."
Thu Nov 09 20:01:14 2017,immunostained,domain,https://www.nytimes.com/2017/11/09/sports/aaron-hernandez-brain-cte.html,"Wafer-like tissues were immunostained, using antibodies designed to discolor a specific protein — in this case, tau, which clumps and spreads, killing brain cells."
Fri Nov 10 11:01:24 2017,gasbagging,compound comp,https://www.nytimes.com/2017/11/10/opinion/the-vacuity-of-the-vice-president.html,"He has called climate change “a myth” and has helped to plant fossil-fuel toadies in crucial Trump administration posts.Pence learned gasbagging for God as a talk-radio host, calling himself “Rush Limbaugh on decaf.” It’s a job that requires someone to fill hours of empty air with hours of empty nonsense."
Fri Nov 10 16:01:26 2017,sadaesasang,filtered,https://www.nytimes.com/2017/11/10/magazine/in-the-debate-over-north-korea-does-anyone-care-what-south-korea-thinks.html,"He thanked the cadets for their service — not only to the United States but also to South Korea.Over the past few months of tensions with the North, an old-fashioned Sino-Korean word has been on my mind: sadaesasang.In North Korea’s official newspaper, sadaesasang is a pejorative word leveled at the South, the lackey of “Yankee bastards” — ostensibly the antithesis of Pyongyang’s juche self-reliance and independence from the West.The North is correct that Seoul depends on the United States, but this is not flunkyism so much as an involuntary alignment with Trumpian aims.Still, the administration demands “gratitude.” During and immediately after the Korean War, Seoul had no choice but to pursue a strategy of sadaesasang.Yet millions more, including those who voted for President Moon, reject this sadaesasang."
Fri Nov 10 22:01:30 2017,codpieced,deriv,https://www.nytimes.com/2017/11/10/books/review/bruce-dickinson-what-does-this-button-do-iron-maiden-memoir.html,"Reviewing the book in The Times of London, Will Hodgkinson noted that Iron Maiden’s hits “are essentially pop songs, albeit ones with squealing guitars and vocals from a man who sounded as if his testicles were snagged on a fence.” That would be Dickinson, whom Hodgkinson goes on to describe in more detail: “An everyman in Spandex who was at once relatable and fantastical, he perfected a howl of glory while sporting the look of a codpieced medieval knight on a trip to the disco."
Sat Nov 11 12:01:27 2017,oushe,filtered,https://www.nytimes.com/2017/11/11/travel/reems-oakland-restaurant-review.html,"


An Arab Bakery in Oakland Full of California Love - The New York Times

















SectionsSEARCHSkip to contentSkip to site indexTravelLog InToday’s PaperTravel|An Arab Bakery in Oakland Full of California Lovehttps://nyti.ms/2hq0NgrAdvertisementContinue reading the main storySupported byContinue reading the main storyBitesAn Arab Bakery in Oakland Full of California LoveDishes at Reem’s, including, at center, man’oushe, a Lebanese flatbread.Credit...Luke BeardBy Rebecca Flint MarxNov.While there’s hummus at Reem’s — thick and silky — the brief menu is built around man’oushe, a Lebanese flatbread that Ms. Assil bakes on a domed griddle called a saj.You can order the man’oushe (pronounced mah-noo-SHAY) carpeted with either za’atar, a spice mixture fragrant with sumac and wild thyme, or akkawi, a salty brined cheese.Both variations can be customized in classic California fashion — the za’atar man’oushe with avocado and a runny egg is a straight road to contentment.Indeed, Ms. Assil calls her food “Arab street food made with California love.” And there’s much to love here: Reem’s version of muhammara, the Syrian walnut-red pepper spread, makes a voluptuous partner to freshly baked pita, while the mu’ajinaat (pronounced moo-aji-NAT), a hand-held turnover stuffed with spinach and onion, is like the platonic ideal of a Hot Pocket."
Sat Nov 11 12:01:32 2017,ajinaat,filtered,https://www.nytimes.com/2017/11/11/travel/reems-oakland-restaurant-review.html,"Both variations can be customized in classic California fashion — the za’atar man’oushe with avocado and a runny egg is a straight road to contentment.Indeed, Ms. Assil calls her food “Arab street food made with California love.” And there’s much to love here: Reem’s version of muhammara, the Syrian walnut-red pepper spread, makes a voluptuous partner to freshly baked pita, while the mu’ajinaat (pronounced moo-aji-NAT), a hand-held turnover stuffed with spinach and onion, is like the platonic ideal of a Hot Pocket."
Sat Nov 11 12:01:34 2017,sfoof,onomatopoeia,https://www.nytimes.com/2017/11/11/travel/reems-oakland-restaurant-review.html,"For dessert, there traditional Arabic sweets like sfoof (turmeric-orange tea cakes), mahalabiya (Egyptian milk custard), and baklava, a phyllo-encased honey-nut pastry that Ms. Assil perfumes with rosewater and orange blossom.While Ms. Assil’s food has drawn plenty of praise, the bakery’s mural has invited criticism: in late June, an online op-ed charged that Ms. Odeh’s portrayal glorified terrorism, and the bakery’s Yelp page was besieged by a slew of one-star reviews."
Sat Nov 11 20:01:51 2017,epistemes,domain,https://www.nytimes.com/2017/11/11/opinion/sunday/history-totally-destroyed.html,"North Korea demands that we oust the “lunatic” who governs us or face “the abyss of doom,” while our own dear leader characterizes Chairman Kim in historically significant tweets as a “madman” on a suicide mission whom we will “totally destroy.”As all top intellectuals know, Hegel argued that history, in its essence, is the coming-to-self-consciousness of the Absolute; Marx said that it is the dialectical unfolding of the material conditions of production; Michel Foucault pointed out that it is a succession of “epistemes” (roughly, a body of common shared beliefs), each inscribing its own regime of power; Francis Fukuyama claimed it was over; and Jean Baudrillard said it never actually happened in the first place.Before these rival theories emerged, it was the Great Man view of history that dominated the field."
Sun Nov 12 18:01:01 2017,shadowses,deriv,https://www.nytimes.com/2017/11/12/us/nsa-shadow-brokers.html,"They suggest that their author — if not an American — knows the United States well.“Is NSA chasing shadowses?” the Shadow Brokers asked in a post on Oct. 16, mocking the agency’s inability to understand the leaks and announcing a price cut for subscriptions to its “monthly dump service” of stolen N.S.A."
Sun Nov 12 18:01:03 2017,hackeres,filtered,https://www.nytimes.com/2017/11/12/us/nsa-shadow-brokers.html,"“Russian security peoples,” it said, “is becoming Russian hackeres at nights, but only full moons.”Russia is the prime suspect in a parallel hemorrhage of hacking tools and secret documents from the C.I.A.’s Center for Cyber Intelligence, posted week after week since March to the WikiLeaks website under the names Vault7 and Vault8."
Mon Nov 13 03:01:17 2017,gormagander,filtered,https://www.nytimes.com/2017/11/12/arts/television/star-trek-discovery-season-1-episode-9-recap.html,"In “Magic To Make The Sanest Man Go Mad, Lorca is totally indifferent to the gormagander (a space whale) his ship crosses paths with, considering it no more than an inconvenience."
Mon Nov 13 03:01:18 2017,decloak,deriv,https://www.nytimes.com/2017/11/12/arts/television/star-trek-discovery-season-1-episode-9-recap.html,"The Klingons have to decloak to fire on Discovery, so their shields are down for a split-second, allowing Burnham and Tyler to beam over."
Mon Nov 13 11:01:39 2017,flagpoled,deriv,https://www.nytimes.com/2017/11/13/magazine/how-the-resistance-helped-democrats-dominate-virginia.html,“It’s ‘Handmaid’s Tale.’ ”We got out to canvass in a subdivision of modest flagpoled homes on branching cul-de-sacs.
Mon Nov 13 12:01:46 2017,pseudoraw,affix,https://www.nytimes.com/2017/11/13/books/review/the-kardashians-jerry-oppenheimer-raising-trump-ivana-trump.html,"Such a quaint ideal and needless effort this service obligation seems now, when exhibitionism in the pseudoraw is what gets rewarded, thanks in large measure to the phony theatrics of reality TV, which turned the social theorist Daniel Boorstin’s notion of a celebrity — someone famous for being famous — into a terrarium thronged with dance moms, mob wives and Honey Boo Boos."
Mon Nov 13 16:00:56 2017,offcumdens,dialect,https://www.nytimes.com/2017/11/13/world/europe/yorkshire-uk-happiness.html,"The police station has room to hold the few people who are arrested locally, but it’s more cost-effective to drive them elsewhere.To add to the quality of life, Craven has some of England’s most scenic countryside and beautiful historic places to visit, like Bolton Abbey.But most of those who live here (those who came from elsewhere are known as “offcumdens”) agree that the sense of community is what stands out.Danielle Daglan, venue and program manager at the town hall, moved to Skipton in 2002."
Mon Nov 13 17:01:15 2017,nucleobases,domain,https://www.nytimes.com/2017/11/13/health/supercentenarians-genetics-longevity.html,"If unusual patterns in their three billion pairs of A’s, C’s, G’s and T’s — the nucleobases that make up all genomes — can be shown to have prolonged their lives and protected their health, the logic goes, it is conceivable that a drug or gene therapy could be devised to replicate the effects in the rest of us.“I hope you find something that does someone some good,” said Clarence Matthews, 110, who allowed his blood to be drawn as a final contribution to the database last year at his Indian Wells, Calif., home while I watched at his side.One in Five MillionThe rare cache of supercentenarian genomes, the largest yet to be sequenced and made public, comes as studies of garden-variety longevity have yielded few solid clues to healthy aging."
Mon Nov 13 18:01:23 2017,rightaholic,affix,https://www.nytimes.com/2017/11/13/books/review-vanity-fair-diaries-tina-brown.html,"“Two workaholics don’t make a rightaholic, particularly when it comes to raising kids.”Knowing that her son has Asperger’s syndrome — Brown has written about it in recent years — makes certain entries especially painful."
Mon Nov 13 18:01:48 2017,pfoom,onomatopoeia,https://www.nytimes.com/2017/11/13/arts/design/richard-avedon-nothing-personal-pace-macgill.html,“When that bank of strobes went off in Avedon’s studio — pfoom!
Tue Nov 14 01:01:41 2017,hyperkulturemia,domain,https://www.nytimes.com/2017/11/13/arts/design/davinci-leonardo-dicaprio-christies.html,"Some 15 others are held in the world’s museums.The video recorded the moment when selected viewers felt “the real-life emotions that this painting, its beauty and divine subject matter stirred in the people who came to see it,” according to the accompanying text.Nina Doede, 65, a former financial manager based in New York, experienced the kind of heightened emotional reaction that psychologists have identified as Stendhal syndrome, or hyperkulturemia, an effect caused by aesthetic euphoria.“Standing in front of that painting was a spiritual experience,” Ms. Doede said."
Tue Nov 14 04:01:14 2017,increasecompliance,filtered,https://www.nytimes.com/2017/11/13/health/digital-pill-fda.html,
Tue Nov 14 11:01:51 2017,gothicky,deriv,https://www.nytimes.com/2017/11/14/books/review/matthew-weiner-heather-the-totality.html,"Occasionally a deadpan drollness, reminiscent of George Saunders, flickers in the prose, hinting at a possible interest in doing gothicky Americana, but that’s also fitful."
Tue Nov 14 19:01:40 2017,beygals,dialect,https://www.nytimes.com/2017/11/14/books/review/recommended-food-science-chef-memoirs.html,"“97 Orchard,” Jane Ziegelman’s intimate history of the neighborhood, records the regional cooking customs of five immigrant families who lived in one tenement building between 1863 and 1935 to illuminate their cultural experiences through the foods they introduced to their neighbors: “beygals,” “wursts and pretzels” and spaghetti among them.Your girlfriend’s work with vegetable peels reminds me of the stories within “In Memory’s Kitchen,” the heartbreaking history, edited by Cara De Silva, of the Terezín cookbook that was handwritten by women (the cookbook’s main author is Mina Pächter) at Theresienstadt, the concentration camp established in then-Czechoslovakia by the Nazis in 1941."
Tue Nov 14 20:01:07 2017,individualmandate,filtered,https://www.nytimes.com/2017/11/14/us/politics/tax-plan-senate-obamacare-individual-mandate-trump.html,
Tue Nov 14 22:01:08 2017,unfairbecause,filtered,https://www.nytimes.com/2017/11/14/travel/tripadvisor-warnings-criticism.html,
Wed Nov 15 03:01:09 2017,biopharmacy,affix,https://www.nytimes.com/2017/11/14/opinion/china-trump-xi-jinping-trade.html,"These industries include electric vehicles, new materials, artificial intelligence, integrated circuits, biopharmacy, quantum computing, 5G mobile communications, and robotics.And Trump?"
Wed Nov 15 10:01:13 2017,yemul,filtered,https://www.nytimes.com/2017/11/15/fashion/watches-south-korea-weddings.html,"“In many cases, the bride and the groom will exchange rings and watches.”The Korean terms are yemul, for the gifts the bride and groom exchange, and yedan, for the gifts that the bride’s family gives to the groom’s."
Wed Nov 15 11:01:28 2017,agreementsm,filtered,https://www.nytimes.com/2017/11/15/opinion/republican-tax-plan-economy.html,
Wed Nov 15 11:02:00 2017,isiphandla,filtered,https://www.nytimes.com/2017/11/15/theater/the-lion-king-south-africa.html,"He also has Ananelwe, his 2-year-old daughter — an American citizen, born of his relationship with another “Lion King” ensemble member, Nteliseng Nkhela — and he knows the child’s life will be affected by where they choose to live.Early this month, he found himself talking about constructing a post-show life with a group of “Lion King” alumni after a boisterous 20th anniversary performance that brought Elton John, one of the show’s composers, back to its stage.This spring, Mr. Madela brought Ananelwe with him to Umlazi, and arranged for a Zulu ceremony, introducing her to her extended family and, symbolically, to her ancestors; she received a goatskin bracelet, called an isiphandla, that she wears around her wrist.“This is what I wanted her to experience — being barefoot, somewhere in Umlazi, without being in an apartment in West New York, N. J., where there’s no yard to play at, and we have to say, ‘No, don’t jump that much, because there’s a neighbor underneath who’s going to complain about the noise’,” he said.He imagines dividing his time between the two countries, aware that many alumni of the show don’t return to South Africa, but also mindful of opportunities in the United States.“When it comes to stability, and earnings, you get to do things that normal people do — you purchase a house, you take your kids to good schools — the very things that people aspire to,” he said."
Wed Nov 15 11:02:20 2017,postmassacre,affix,https://www.nytimes.com/2017/11/15/magazine/the-history-of-photography-is-a-history-of-shattered-glass.html,"They look like small black stains or asterisks, or perhaps even like a pair of gouged-out eyes: These are the broken windows.The postmassacre photographs of the building are documents of fact."
Wed Nov 15 20:01:43 2017,besatzungskinder,filtered,https://www.nytimes.com/2017/11/15/arts/design/dara-friedman-miami-perez-art-museum-miami-perfect-strangers.html,"Ms. Friedman had been raised between West Palm Beach (65 miles north) and Bad Kreuznach, Germany.“In Germany you would say I was a besatzungskinder, a child of the occupation,” she explained."
Thu Nov 16 07:01:08 2017,grammairiens,filtered,https://www.nytimes.com/2017/11/16/opinion/french-sexism-grammar-everybody.html,"Naturally, she was careful to describe such experts as both “grammairiens” (masculine) and “grammairiennes” (feminine).As a person in the 21st century, I have to applaud the teachers’ revolt; as a person whose job it is to make sure writers are using correct grammar, I worry about my mortgage."
Thu Nov 16 07:01:10 2017,grammairiennes,filtered,https://www.nytimes.com/2017/11/16/opinion/french-sexism-grammar-everybody.html,"Naturally, she was careful to describe such experts as both “grammairiens” (masculine) and “grammairiennes” (feminine).As a person in the 21st century, I have to applaud the teachers’ revolt; as a person whose job it is to make sure writers are using correct grammar, I worry about my mortgage."
Thu Nov 16 07:01:28 2017,pointant,filtered,https://www.nytimes.com/2017/11/16/opinion/larabie-saoudite-reforme-islamistes.html,"16, 2017Read in EnglishDes pèlerins dans une mosquée à Médine, en Arabie saoudite, en septembre.Credit...Firat Yurdakul/Anadolu Agency, via Getty ImagesORAN, Algérie — Il y a un moment déjà, un caricaturiste algérien, le Hic, avait résumé par un féroce coup de crayon la situation de l’Arabie saoudite: dans un de ces dessins, on voit le roi saoudien annonçant sa volonté de lutter contre le terrorisme et se pointant une arme à feu sur la tête."
Thu Nov 16 11:01:12 2017,semicryptically,affix,https://www.nytimes.com/2017/11/16/us/politics/alexander-ovechkin-capitals-putin.html,"awards, impish charisma and a gaptoothed grin — has glided into the zeitgeist with his own Washington mystery: He is the stickhandling hero who may or may not be a witting font of Kremlin propaganda in the United States’ capital.“It’s all about country,” Mr. Ovechkin said in an interview, semicryptically, from across a conference room table at the team’s practice facility in Arlington, Va. “I just want to do my best for my country.”This month, Mr. Ovechkin announced the creation of a “civic movement” he has called “#putinteam,” a demonstration of support for Mr. Putin, his most powerful admirer, months before the country’s election next year."
Thu Nov 16 11:01:55 2017,acetalized,infl,https://www.nytimes.com/2017/11/16/books/review/new-crime-fiction-linwood-barclay.html,"Dr. Noah Whitestone, the civilized sleuth in this medical mystery, understands the distinctions between two new wonder drugs, acetylsalicylic acid (aspirin) and acetalized morphine (heroin), and promptly sounds the alarm."
Thu Nov 16 11:02:11 2017,casseroling,deriv,https://www.nytimes.com/2017/11/16/magazine/letter-of-recommendation-caceroladas.html,"In Spain, where I live, the cacerolada — or the banging of pots and pans together, a word that translates roughly as “casseroling” — is an increasingly popular form of protest."
Thu Nov 16 15:01:06 2017,beachfuls,infl,https://www.nytimes.com/2017/11/16/world/europe/dylan-thomas-wales-dolphins-octopuses.html,In May came beachfuls of giant barrel jellyfish.
Thu Nov 16 22:01:38 2017,onrolling,affix,https://www.nytimes.com/2017/11/16/arts/design/downton-abbey-the-exhibition-manhattan.html,"The show you tried to replace with “The Crown” or “Call the Midwife” or “Peaky Blinders” or, God, “Poldark.” But nothing, it turned out, could quite fibrillate your atrium like that first sight of Downton Abbey every Sunday evening, framed against a blue sky by a yellow lab’s twitching haunches, and bringing with it the promise of gorgeous, onrolling misery for every character, upstairs and down.Quietly, stubbornly, you kept the flame alive, trolling the show’s Wiki forum, lunging at every report of a possible film version, plotting your make-believe itineraries to Highclere Castle, where most of the show was filmed."
Fri Nov 17 11:01:16 2017,domesticairlines,filtered,https://www.nytimes.com/2017/11/17/travel/clear-airport-screening.html,
Fri Nov 17 11:01:26 2017,funreach,compound new,https://www.nytimes.com/2017/11/17/arts/science-podcasts-youre-the-expert-startalk.html,"“I always want the scientists to leave feeling like a rock star,” Mr. Duffy said, adding that he knows a show is successful when “the expert” is mobbed by audience members afterward.While Dr. Faherty sees this comedy as a form of public outreach — “funreach” as she called it — not unlike her appearances at the natural history museum, the Hayden Planetarium or at local bars for the international event series Astronomy on Tap, Mr. Duffy said some scientists have declined to participate in his show for fear of losing respect in their fields.“The incentives for many scientists are set up in a perverse way,” he said, “so that they’re punished for being good at explaining their work to a general public rather than rewarded.”Within the science-comedy slice is an even tinier sliver occupied by academics who moonlight as comedians."
Fri Nov 17 11:01:28 2017,hydrorobot,affix,https://www.nytimes.com/2017/11/17/arts/science-podcasts-youre-the-expert-startalk.html,"Although the program included a live sketch featuring a hydrorobot that punched the disease out of people, they admitted the topic was tougher than past themes like artificial intelligence or insects.The women view their show, which is heavy on slides, as a forum for merging two disparate cultures: scientists, who, according to Ms."
Fri Nov 17 16:01:08 2017,babymooners,blend,https://www.nytimes.com/2017/11/17/travel/26babymoon-tips.html,"Make sure to inquire about packages in advance.Also, regardless of whether or not you book a babymoon package, let your hotel know in advance of your stay that you’re coming to celebrate your impending arrival — Ms. Alvarado said that some properties offer babymooners free room upgrades and tailored amenities such as a bib and onesie for your future childBe Indulgent Babymooners should take every opportunity they can on their trip for self-care."
Fri Nov 17 16:01:31 2017,obsessable,affix,https://www.nytimes.com/2017/11/17/movies/its-time-to-talk-turkey-about-thanksgiving-films.html,We’re confident that you’ll find more of the obsessable series and movies that you crave.” Let the subscriber beware.
Fri Nov 17 17:01:31 2017,deinstitutionalizes,deriv,https://www.nytimes.com/2017/11/17/opinion/sunday/escape-roy-moores-evangelicalism.html,"Listeners find one another through social media, and the co-hosts travel the country to convene events where fans eat, drink and worship together — groups that often continue meeting after Mr. Gungor and Mr. McHargue leave town.“As America deinstitutionalizes and moves away from religion, people — especially millennials — have lost something."
Fri Nov 17 22:01:19 2017,podfasters,blend,https://www.nytimes.com/2017/11/17/insider/what-were-reading.html,"But you don’t love them as much as people called “podfasters,” who listen to podcasts at speeds two to three times faster than their original playbacks."
Fri Nov 17 23:01:10 2017,poliphical,variant,https://www.nytimes.com/2017/11/17/nyregion/bo-dietl-raos-harlem-italian-mayoral.html,"By the time the plates of veal, shrimp, lemon chicken and eggplant Parmesan had come and gone, and Mr. Dietl had already told the story of the patron murdered in 2003 in the seat next to his (Mr. Dietl was not there at the time), he summoned those at his 10-person table to listen to a quote from Theodore Roosevelt.“This is poliphical,” he said, grasping for a word — and coming up with a garble — to capture how applicable he found the words of a former president to his own poor electoral performance."
Fri Nov 17 23:01:48 2017,soundcards,infl,https://www.nytimes.com/2017/11/17/arts/music/ecm-catalog-streaming-guide.html,"Across styles, the label’s hallmark has been the contemplative detail of its music, a kind of acoustic enhanced realism.ECM was long a holdout against streaming services that have to contend with bandwidth limits and non-optimal soundcards in computers and phones, as well as deals that minimize the value of music."
Fri Nov 17 23:02:12 2017,übermocking,affix,https://www.nytimes.com/2017/11/17/books/review/vanity-fair-diaries-tina-brown-terry-mcdonell.html,"She is fundamentally covering herself, setting a bonfire of her own vanities.Tina came to think of herself as being from “Transatlantica,” but she arrived in New York quintessentially English, having attended “turreted academies with horsey debs and Country Life Camillas,” and been “bounced” from several for “crimes of attitude.” Picking her up on one such occasion her father, a gentleman movie producer, tells the headmistress: “How very sad it must be for you to have failed with this unusual girl.” At Oxford she falls for “the frenzy of closing a magazine on deadline.” Her student piece mocking the übermocking editors of Private Eye earns her enfant-terrible status and the nickname “the buxom hackette.” She writes “frisky” freelance pieces for the liberal New Statesman."
Sat Nov 18 20:02:01 2017,humorize,deriv,https://www.nytimes.com/2017/11/18/opinion/sunday/nuclear-war-not-funny.html,"“Thoughts of nuclear war were repressed because they were so terrible, and it came out in humor,” he told me.Since the end of the Cold War, he points out, the instinct to humorize nuclear war has diminished along with the threat."
Sun Nov 19 07:02:51 2017,satelitales,filtered,https://www.nytimes.com/2017/11/18/world/americas/argentina-missing-submarine.html?ref=todayspaper,“We are working hard to locate it and we are transmitting hope to the families of the 44 crew members: that they’ll soon be able to have them in their homes.”Recibimos siete señales de llamadas satelitales que provendrían del submarino San Juan.
